feature_id,feature_name,cat1_id,cat2_id,impact_factor
1,f_1,9,12,0.9145969717895599
2,f_2,4,1,0.8140531955017051
3,f_3,12,1,0.6596968202735994
4,f_4,7,9,0.9090880570901245
5,f_5,2,9,0.6710898985343786
6,f_6,9,4,0.816268305937512
7,f_7,3,2,0.7890167648380048
8,f_8,9,11,0.8367526360692235
9,f_9,3,6,0.6674098738740556
10,f_10,3,4,0.8475387279132658
11,f_11,11,9,0.9298996692609514
12,f_12,12,11,0.8477459687565445
13,f_13,2,7,0.7983266229457107
14,f_14,10,11,0.9483497996578495
15,f_15,2,6,0.9186454957677569
16,f_16,11,7,0.9893394266408129
17,f_17,12,1,0.6385586288477288
18,f_18,2,8,0.8227814558788877
19,f_19,5,6,0.6152003353007628
20,f_20,4,7,0.8124760460611441
21,f_21,9,1,0.6530167579514298
22,f_22,10,3,0.7758683725033
23,f_23,12,6,0.6745245889056389
24,f_24,2,9,0.6458407931894735
25,f_25,3,11,0.6079598509392986
26,f_26,2,10,0.8471981282664123
27,f_27,5,1,0.8094693913443807
28,f_28,10,11,0.7177908610271109
29,f_29,12,2,0.6320135388420874
30,f_30,6,11,0.655388864963381
31,f_31,3,12,0.8662843353603493
32,f_32,3,7,0.9037075035787425
33,f_33,1,3,0.85070970580025
34,f_34,6,11,0.6162313924231986
35,f_35,10,12,0.7143151191763326
36,f_36,12,10,0.7950504030007927
37,f_37,4,11,0.9838787340474181
38,f_38,8,7,0.7821391786859927
39,f_39,4,7,0.9799442765123269
40,f_40,3,12,0.9747899450907664
41,f_41,6,1,0.7953582584364622
42,f_42,3,12,0.6788397964550164
43,f_43,7,8,0.8063709967212154
44,f_44,2,12,0.9853004398595648
45,f_45,12,11,0.7496984805667395
46,f_46,1,9,0.7169458411943584
47,f_47,5,6,0.8756105064488937
48,f_48,3,8,0.8296683582836302
49,f_49,10,5,0.954254420616999
50,f_50,1,11,0.7615124125397017
51,f_51,1,5,0.9117536125815956
52,f_52,11,12,0.7527234247411939
53,f_53,3,6,0.7210703984624742
54,f_54,9,4,0.6143196886554393
55,f_55,1,8,0.9246297403338014
56,f_56,6,5,0.8158912723627614
