feature_id,feature_name,cat1_id,cat2_id,impact_factor
1,f_1,10,6,0.6032746703663469
2,f_2,4,5,0.9662119060272244
3,f_3,3,10,0.8027057219949565
4,f_4,5,9,0.7741828239823231
5,f_5,9,8,0.9065719105587208
6,f_6,3,12,0.8802245335420817
7,f_7,6,8,0.8225806946598604
8,f_8,5,12,0.9126348183837761
9,f_9,1,3,0.831691351327817
10,f_10,2,11,0.8721265991315024
11,f_11,2,8,0.7966264540441939
12,f_12,4,12,0.8259038854303388
13,f_13,3,7,0.9539251679219823
14,f_14,10,7,0.8114385687951077
15,f_15,11,3,0.663342700502599
16,f_16,11,12,0.789574525156975
17,f_17,7,11,0.9275510745421972
18,f_18,2,9,0.8121434221251076
19,f_19,1,7,0.7644407245866178
20,f_20,1,12,0.9299582049079872
21,f_21,10,5,0.9123725632855773
22,f_22,2,3,0.9393857288568886
23,f_23,8,2,0.9805874370018739
24,f_24,6,5,0.8390259639727429
25,f_25,1,7,0.7169891915915829
26,f_26,12,8,0.6162733171210727
27,f_27,9,11,0.7095285264691922
28,f_28,7,12,0.61422540718508
29,f_29,12,6,0.6295946399429918
30,f_30,6,1,0.9710282623744233
31,f_31,9,1,0.6300434905695312
32,f_32,4,8,0.9291935948502295
33,f_33,12,8,0.825046965383014
34,f_34,7,8,0.8300544414345437
35,f_35,1,7,0.6310985174521706
36,f_36,12,9,0.9996483990778225
37,f_37,9,8,0.6874370717455481
38,f_38,9,1,0.8245513660841113
39,f_39,3,10,0.9479499445355238
40,f_40,3,4,0.7146624996914821
41,f_41,11,12,0.6527106880776162
42,f_42,12,6,0.6943500969372743
43,f_43,12,2,0.6221044225355749
44,f_44,9,4,0.9597723947721887
45,f_45,8,7,0.6825365594180883
46,f_46,9,10,0.9910391559984915
47,f_47,1,5,0.7248812264906813
48,f_48,9,11,0.7648344958911996
49,f_49,7,2,0.9291562882577082
50,f_50,2,11,0.6219944616567761
51,f_51,12,9,0.8181240728488608
52,f_52,2,11,0.9812014348625724
