feature_id,feature_name,cat1_id,cat2_id,impact_factor
1,f_1,9,8,0.8830233149974682
2,f_2,6,12,0.9025431376595412
3,f_3,4,12,0.7904251961269474
4,f_4,8,7,0.7197208903075113
5,f_5,12,3,0.7164255470817336
6,f_6,6,9,0.7560301223051039
7,f_7,7,11,0.8050913751334018
8,f_8,12,2,0.8816863829332006
9,f_9,12,7,0.8862921348761142
10,f_10,12,8,0.9667458345986233
11,f_11,6,8,0.6857398850263863
12,f_12,12,2,0.6201251154570181
13,f_13,5,9,0.8116312440370189
14,f_14,9,12,0.8587032512064268
15,f_15,1,3,0.930250497823243
16,f_16,12,2,0.7524885812412782
17,f_17,4,5,0.8240963610414279
18,f_18,9,11,0.9287607736326182
19,f_19,3,7,0.9792998796195533
20,f_20,12,2,0.6968110808222748
21,f_21,4,5,0.9490522855469193
22,f_22,2,8,0.94978044342635
23,f_23,2,1,0.74549616751849
24,f_24,3,2,0.903195165892074
25,f_25,5,11,0.8329509076569677
26,f_26,4,3,0.9213934954339774
27,f_27,7,11,0.7672069541018275
28,f_28,6,8,0.9092610226520352
29,f_29,9,11,0.8437829442496969
30,f_30,9,11,0.9743194559640279
31,f_31,12,3,0.8716404287251529
32,f_32,10,6,0.8611321446555272
33,f_33,9,2,0.749670369197062
34,f_34,3,10,0.7200016212636202
35,f_35,10,5,0.7428800202607351
36,f_36,8,1,0.9403183880696969
37,f_37,9,3,0.8025234963296259
38,f_38,12,5,0.6179323066363158
39,f_39,10,3,0.8467214281233334
40,f_40,12,1,0.6158406413169505
41,f_41,12,8,0.9603897180954877
42,f_42,9,2,0.9412913692369611
43,f_43,2,4,0.8920647981821253
44,f_44,8,7,0.9155755520206179
45,f_45,11,4,0.9954244888587952
46,f_46,12,7,0.9863545893741692
47,f_47,3,7,0.6576083360108648
48,f_48,5,6,0.91341636044109
49,f_49,8,5,0.7720567323547077
50,f_50,11,7,0.6741136747114739
51,f_51,10,6,0.8677912359474839
52,f_52,2,11,0.9039370988022128
53,f_53,8,12,0.9933222712824137
54,f_54,12,5,0.9042277258533915
55,f_55,3,5,0.7965302112309943
56,f_56,2,10,0.7256418869598482
57,f_57,12,5,0.8156863466349075
58,f_58,6,10,0.7158855807821377
59,f_59,2,8,0.918318149301707
60,f_60,3,10,0.9819239377688672
61,f_61,1,2,0.9544035767453042
62,f_62,8,9,0.8440577265101862
63,f_63,5,2,0.7762759929698452
64,f_64,3,4,0.7459831686921905
65,f_65,1,10,0.7801325270171539
66,f_66,9,2,0.6567366286253834
67,f_67,6,4,0.7932595847104132
68,f_68,9,12,0.6922253346658902
69,f_69,9,1,0.7997641104400952
70,f_70,1,11,0.9020737168614705
71,f_71,4,11,0.70917558351367
72,f_72,2,5,0.6725629696099448
73,f_73,10,4,0.616570843423666
74,f_74,1,5,0.87594714991701
75,f_75,4,12,0.6627851925911324
76,f_76,5,11,0.6163205776851862
77,f_77,7,4,0.9296734833259276
78,f_78,9,12,0.8743495923355316
79,f_79,5,9,0.888792470487507
80,f_80,6,5,0.880047454370758
81,f_81,9,2,0.9456276404958346
82,f_82,3,5,0.6178346982883212
83,f_83,1,12,0.626061304854583
84,f_84,5,6,0.7648573111748957
85,f_85,11,6,0.918066867372304
86,f_86,10,7,0.8602491447942411
87,f_87,10,3,0.9263031922061779
88,f_88,5,3,0.6715422283668112
89,f_89,2,11,0.6587914445482893
90,f_90,4,12,0.7909635945209701
91,f_91,9,5,0.9202703612044459
92,f_92,1,10,0.9032694273911017
93,f_93,2,9,0.6497671687217744
94,f_94,9,1,0.9521746393200202
95,f_95,2,12,0.9160480973023051
96,f_96,10,8,0.7582634019321539
97,f_97,3,4,0.6445899421932034
98,f_98,3,7,0.6200117225271894
99,f_99,9,1,0.7867227066026875
100,f_100,3,2,0.9031619540802494
101,f_101,3,4,0.7993864059220063
102,f_102,8,10,0.8233498276480882
103,f_103,4,10,0.7803700302215377
104,f_104,7,8,0.9993899893847411
105,f_105,6,10,0.81954107150168
106,f_106,12,1,0.6544591157450024
107,f_107,3,11,0.8258077317774611
108,f_108,8,1,0.8782677158712886
109,f_109,9,6,0.8653930068050215
110,f_110,8,2,0.7518265653769516
111,f_111,4,3,0.8029461554949996
112,f_112,5,1,0.8909528529878945
113,f_113,5,2,0.861316889244897
114,f_114,9,5,0.9729788596965538
115,f_115,12,8,0.661982398639897
116,f_116,7,9,0.9364405387092952
117,f_117,12,1,0.9741113262715693
118,f_118,2,9,0.8232980624314362
119,f_119,10,4,0.7416371977420492
120,f_120,8,7,0.6712580683415844
121,f_121,3,7,0.7286866708779085
122,f_122,9,2,0.9855819750007901
123,f_123,9,2,0.6162907208658553
124,f_124,6,7,0.7362474798360115
125,f_125,5,1,0.632306010432388
126,f_126,2,7,0.6997738309499217
127,f_127,4,11,0.7491066073221493
128,f_128,10,11,0.7210435128232957
129,f_129,4,9,0.8245291449168362
130,f_130,1,11,0.908378424471841
131,f_131,9,12,0.9689119713892154
132,f_132,12,1,0.7908193758177176
133,f_133,12,9,0.6473647428491203
134,f_134,12,6,0.637173805768941
135,f_135,3,4,0.8921500344031861
136,f_136,6,7,0.6711890030495132
137,f_137,2,8,0.6502071755217192
138,f_138,5,7,0.963660990764345
139,f_139,12,3,0.6093607414816201
140,f_140,6,2,0.951374358229697
141,f_141,6,7,0.9004043216212877
142,f_142,3,10,0.9820017639645219
143,f_143,3,5,0.7727885801445533
144,f_144,2,6,0.8686088014770292
145,f_145,10,8,0.6896503234694289
146,f_146,1,6,0.8641593834005862
147,f_147,9,2,0.8539772009739304
148,f_148,3,11,0.9317246179393535
149,f_149,4,2,0.8765675113207977
150,f_150,2,11,0.8325743534724388
151,f_151,8,3,0.7525073008282755
152,f_152,4,10,0.7147786466984309
153,f_153,12,9,0.7747638668660564
154,f_154,5,12,0.8696849941322673
155,f_155,9,10,0.9971900709949061
156,f_156,8,4,0.9129323848190212
157,f_157,1,7,0.9742361779299777
158,f_158,2,8,0.8841116246813283
159,f_159,5,1,0.9003905355403524
160,f_160,1,6,0.8022777789711982
161,f_161,12,1,0.9754598030049061
162,f_162,2,9,0.6395490730305984
163,f_163,7,11,0.9225145678272676
164,f_164,10,7,0.8805494893495482
165,f_165,2,10,0.6516528796123914
166,f_166,10,8,0.7822978947368422
167,f_167,8,7,0.9756721705868907
168,f_168,7,3,0.9104374426161417
169,f_169,8,6,0.9879303963185042
170,f_170,6,7,0.6179028930810183
171,f_171,3,2,0.9700711528549073
172,f_172,11,5,0.7809663916578609
173,f_173,11,9,0.8644825770803284
174,f_174,5,11,0.7258721292277652
175,f_175,3,11,0.6501873097608921
176,f_176,5,7,0.7527496422730454
177,f_177,1,5,0.6930786285689049
178,f_178,8,3,0.8208003025893547
179,f_179,2,11,0.8433101872076667
180,f_180,4,10,0.7387001113807985
181,f_181,3,4,0.7811441064474809
182,f_182,9,12,0.7859596011148422
183,f_183,11,2,0.7331560502912066
184,f_184,2,9,0.8588761693437497
185,f_185,10,5,0.6267380915392047
186,f_186,5,3,0.7997284448792676
187,f_187,5,4,0.9782882855297307
188,f_188,9,7,0.8121725711238301
189,f_189,1,7,0.606499129859786
190,f_190,3,6,0.8177623127280237
191,f_191,9,8,0.7443426359531691
192,f_192,6,2,0.873174246351184
193,f_193,3,1,0.6966579993394956
194,f_194,2,8,0.8460381332243265
195,f_195,3,11,0.6119987587305511
196,f_196,1,4,0.7518854649597103
197,f_197,8,10,0.9681608641840053
198,f_198,4,11,0.6131858721673588
199,f_199,6,7,0.9947027213256459
200,f_200,8,2,0.8038550914246183
201,f_201,5,2,0.6183969710227103
202,f_202,2,7,0.7640600008352849
203,f_203,3,4,0.7937922725831672
204,f_204,9,2,0.8134217972633755
205,f_205,6,9,0.8285296325348812
206,f_206,9,5,0.994190798370671
207,f_207,8,6,0.9920085658293739
208,f_208,1,4,0.9828461929538799
209,f_209,11,5,0.9563715794020469
210,f_210,4,6,0.7602268484419951
211,f_211,8,1,0.9057599587014747
212,f_212,3,2,0.8672700155405797
213,f_213,3,7,0.885403607447072
214,f_214,2,7,0.6473148778953527
215,f_215,11,9,0.9470312245625627
216,f_216,9,1,0.7334552753637807
217,f_217,5,10,0.9979048393052696
218,f_218,2,3,0.9272738910683678
219,f_219,1,10,0.7125428053628269
220,f_220,8,7,0.6948006677285702
221,f_221,5,3,0.7358105899298849
222,f_222,4,10,0.7093083567955939
223,f_223,1,12,0.7908353633887364
224,f_224,4,7,0.8439401267862938
225,f_225,11,3,0.9729514903785129
226,f_226,1,2,0.6936083176967036
227,f_227,12,7,0.8329770481203516
228,f_228,10,4,0.6288506446381522
229,f_229,4,11,0.6950855409425055
230,f_230,10,2,0.9594462663569048
231,f_231,8,2,0.6164432814330246
232,f_232,9,8,0.657418817041255
233,f_233,2,6,0.7886839149846767
234,f_234,4,2,0.644099184998313
235,f_235,4,8,0.8197362666642155
236,f_236,7,8,0.6312919294574901
237,f_237,11,3,0.8817135926427002
238,f_238,5,3,0.6596062458018949
239,f_239,11,8,0.929129658980458
240,f_240,5,3,0.9353927078188509
241,f_241,6,2,0.6946122212359027
242,f_242,10,8,0.9961751429048795
243,f_243,8,5,0.9557980346354902
244,f_244,10,8,0.9657924316256262
245,f_245,8,5,0.7370852983272796
246,f_246,5,12,0.7357049098932246
247,f_247,11,4,0.8969589629687595
248,f_248,2,7,0.7971262217322983
249,f_249,8,1,0.6193195560598141
250,f_250,2,8,0.7027372705754737
251,f_251,6,9,0.8880960494612017
252,f_252,8,3,0.8377186731823458
253,f_253,7,3,0.9295363931823989
254,f_254,7,11,0.9052152972000889
255,f_255,8,7,0.8084201571660223
256,f_256,10,8,0.8275611271875997
257,f_257,11,5,0.784344075692026
258,f_258,9,3,0.8896644056492826
259,f_259,6,11,0.7269500411982862
260,f_260,10,7,0.6060262230433076
261,f_261,5,4,0.9546659385377473
262,f_262,10,5,0.7981569413345568
263,f_263,2,8,0.8465157779932173
264,f_264,7,8,0.6105848270445257
265,f_265,11,12,0.8331233025675456
266,f_266,10,5,0.7259472980670966
267,f_267,6,4,0.9021884670137025
268,f_268,9,12,0.6621646037199044
269,f_269,8,6,0.7289028134806019
270,f_270,11,3,0.944054906322713
271,f_271,3,2,0.7589054849352701
272,f_272,4,3,0.6255329099341019
273,f_273,7,12,0.776331787368884
274,f_274,9,2,0.9849377144758998
275,f_275,10,1,0.7256616761821747
276,f_276,8,3,0.6922601563017381
277,f_277,5,8,0.7907937596883376
278,f_278,6,7,0.7107264367148503
279,f_279,12,4,0.6228648652695491
280,f_280,12,5,0.8783073896704727
281,f_281,2,12,0.6578428160950274
282,f_282,10,11,0.856650797412611
283,f_283,9,5,0.8328123693682712
284,f_284,5,1,0.772522218970558
285,f_285,1,12,0.9260363511272464
286,f_286,5,1,0.669844849971791
287,f_287,4,3,0.8003237094257765
288,f_288,12,2,0.9320262580810119
289,f_289,6,3,0.7529255429651527
290,f_290,3,9,0.6850394804723978
291,f_291,9,3,0.8071116236745557
292,f_292,2,1,0.863504011932329
293,f_293,11,12,0.7078318784015615
294,f_294,7,9,0.673331445498366
295,f_295,4,7,0.9453004192438162
296,f_296,1,5,0.7748299477222659
297,f_297,2,7,0.9896889156163338
298,f_298,5,3,0.9261158790910103
299,f_299,11,7,0.9305954986368653
300,f_300,3,11,0.6125908943176215
