member_id,age,age_group,region,risk_score,seed
1,19,adult,R2,0.4877906707912238,1007
2,42,adult,R2,4.390156727282498,1007
3,37,adult,R1,1.1244956791925143,1007
4,17,pediatric,R2,0.7980538751754315,1007
5,25,adult,R1,2.3964152361800632,1007
6,6,pediatric,R2,1.0634710313539733,1007
7,54,adult,R1,0.42783292300847636,1007
8,5,pediatric,R3,0.5574440194986667,1007
9,36,adult,R2,0.2758674465607603,1007
10,49,adult,R2,1.6663512715930795,1007
11,48,adult,R3,0.6002874920700522,1007
12,1,pediatric,R1,4.416629809419057,1007
13,39,adult,R2,0.32445259477243205,1007
14,8,pediatric,R3,0.6231241473024769,1007
15,27,adult,R3,0.8290718212488933,1007
16,24,adult,R2,0.4665201357006769,1007
17,23,adult,R3,1.157243339247392,1007
18,43,adult,R1,0.7226295501839709,1007
19,79,senior,R1,0.9071795075555095,1007
20,39,adult,R1,1.7165906398226098,1007
21,20,adult,R2,0.48906378778636905,1007
22,8,pediatric,R3,2.800365972769388,1007
23,52,adult,R3,0.537196856719887,1007
24,6,pediatric,R1,1.4788861454355333,1007
25,8,pediatric,R3,1.9903943734139138,1007
26,23,adult,R1,0.42271624984214423,1007
27,5,pediatric,R1,0.5781349680217097,1007
28,56,adult,R2,0.9122800051727982,1007
29,59,adult,R2,4.420097086996204,1007
30,63,adult,R3,0.4958683339408032,1007
31,11,pediatric,R3,0.6616467657381666,1007
32,7,pediatric,R3,4.304238839020958,1007
33,67,senior,R1,1.2065725251811878,1007
34,35,adult,R2,0.4260913699504582,1007
35,30,adult,R1,0.4625276618400666,1007
36,2,pediatric,R2,1.0287961399078307,1007
37,17,pediatric,R1,1.3199627356729737,1007
38,32,adult,R2,1.4601390460443446,1007
39,50,adult,R2,1.4133809996604978,1007
40,66,senior,R1,0.18514488346226482,1007
41,52,adult,R1,1.1043189699839993,1007
42,27,adult,R1,0.5090429145760537,1007
43,8,pediatric,R1,2.1522058726535787,1007
44,30,adult,R2,0.5884074085940059,1007
45,58,adult,R3,1.374241915505399,1007
46,61,adult,R1,0.367873256646229,1007
47,37,adult,R1,0.509905713845288,1007
48,82,senior,R3,0.8076452285731613,1007
49,45,adult,R2,0.5415525875584577,1007
50,41,adult,R1,0.5952458508966583,1007
51,33,adult,R3,0.6173372715222126,1007
52,11,pediatric,R1,1.2049157874484617,1007
53,9,pediatric,R2,3.532115760034475,1007
54,47,adult,R2,0.7249798244402886,1007
55,18,adult,R1,0.8489758987511103,1007
56,63,adult,R1,2.6942588493263373,1007
57,22,adult,R3,1.5497252398384382,1007
58,36,adult,R2,0.6417370473339514,1007
59,53,adult,R2,2.115058510928013,1007
60,24,adult,R3,0.24797099059037397,1007
61,25,adult,R2,0.8912392143693922,1007
62,3,pediatric,R2,0.20144585581032148,1007
63,30,adult,R3,5.589315386783876,1007
64,17,pediatric,R3,3.636968827321127,1007
65,26,adult,R1,0.6932178628403478,1007
66,30,adult,R2,0.5612759149435149,1007
67,28,adult,R2,0.3418602728974127,1007
68,59,adult,R3,1.1673376525601555,1007
69,26,adult,R2,0.6716714203788173,1007
70,28,adult,R2,1.5555664430137905,1007
71,9,pediatric,R2,0.786747896692608,1007
72,10,pediatric,R2,0.9061266918331199,1007
