member_id,age,age_group,region,risk_score,seed
1,69,senior,R1,4.190296737091082,2007
2,64,adult,R1,2.493943794170697,2007
3,88,senior,R1,0.9509707359945292,2007
4,63,adult,R3,3.4885268652475214,2007
5,67,senior,R3,1.1817556623877703,2007
6,58,adult,R1,0.3434505869623627,2007
7,55,adult,R1,0.9670947471195163,2007
8,78,senior,R3,2.546070300647442,2007
9,82,senior,R2,0.6199526041619635,2007
10,77,senior,R3,1.4374695391451089,2007
11,51,adult,R1,0.990953755014842,2007
12,45,adult,R2,1.1375404739454582,2007
13,41,adult,R3,1.9792391051949232,2007
14,5,pediatric,R1,0.21320645612638156,2007
15,65,senior,R3,0.48955495451005887,2007
16,30,adult,R1,1.5469232023618473,2007
17,15,pediatric,R3,3.8700682207948693,2007
18,15,pediatric,R1,0.8116983464520715,2007
19,32,adult,R3,1.57385610040092,2007
20,26,adult,R2,0.38396150987501976,2007
21,8,pediatric,R2,1.132092392562975,2007
22,25,adult,R2,0.7196414729168527,2007
23,68,senior,R1,0.9190724234387817,2007
24,13,pediatric,R3,2.1857478936776893,2007
25,20,adult,R2,0.7492840974540707,2007
26,34,adult,R2,1.5250566489451265,2007
27,12,pediatric,R1,0.9705659556513475,2007
28,33,adult,R2,0.47254268890668105,2007
29,49,adult,R3,1.7200050966423357,2007
30,1,pediatric,R3,0.9511766521335288,2007
31,45,adult,R2,2.0625085766723097,2007
32,32,adult,R2,1.3894730379557187,2007
33,33,adult,R2,0.7002337613122034,2007
34,45,adult,R1,0.6865231548968197,2007
35,77,senior,R2,0.5079837287878296,2007
36,18,adult,R2,1.1152063388237126,2007
37,63,adult,R3,0.7627785579435403,2007
38,51,adult,R1,1.337257867680266,2007
39,62,adult,R2,2.3303381927618823,2007
40,3,pediatric,R3,1.8270237163388408,2007
41,11,pediatric,R1,4.9916210772473955,2007
42,11,pediatric,R3,1.5931161466534063,2007
43,67,senior,R2,4.4153339441848996,2007
44,80,senior,R1,1.6442655573303775,2007
45,2,pediatric,R1,0.7360699369036495,2007
46,35,adult,R3,0.6196483871401178,2007
47,24,adult,R3,0.5563331285494286,2007
48,29,adult,R2,1.2796111503079266,2007
49,75,senior,R3,0.3558255864795371,2007
50,19,adult,R2,0.9489057003069163,2007
51,5,pediatric,R2,2.1206486431486318,2007
52,23,adult,R1,1.4387043003758133,2007
53,33,adult,R1,0.5471795372114407,2007
54,22,adult,R2,0.23545470441174743,2007
55,60,adult,R2,0.5474259384590481,2007
56,47,adult,R2,0.4482805319440963,2007
57,67,senior,R2,0.605183389373985,2007
58,84,senior,R1,0.8097675208104703,2007
59,2,pediatric,R3,1.3182654993650271,2007
60,10,pediatric,R1,0.5167485831327543,2007
61,3,pediatric,R1,0.6485046116551207,2007
62,15,pediatric,R1,2.5292807098540635,2007
63,81,senior,R3,2.1785100400582738,2007
64,71,senior,R3,0.44237331839135696,2007
65,54,adult,R2,0.6551634609672983,2007
66,45,adult,R1,0.8891403262191603,2007
67,17,pediatric,R3,0.5558189555742302,2007
68,38,adult,R2,1.5256361973150994,2007
69,7,pediatric,R3,0.8778397301601799,2007
70,54,adult,R1,1.0949717142670572,2007
71,38,adult,R2,2.6466452185114004,2007
72,5,pediatric,R2,0.4241189195996688,2007
73,27,adult,R3,1.503216625161709,2007
74,46,adult,R1,0.9141850567591898,2007
75,9,pediatric,R3,1.6375081049614049,2007
76,82,senior,R1,1.7131130285914646,2007
77,40,adult,R3,0.679828155289785,2007
78,11,pediatric,R2,0.4640865358844801,2007
79,11,pediatric,R1,0.9003352974038301,2007
80,65,senior,R1,0.7250879275759737,2007
81,0,pediatric,R1,0.6111949860679906,2007
82,28,adult,R3,0.6830498780025408,2007
83,22,adult,R1,0.5803821898525522,2007
84,42,adult,R1,2.591362144249873,2007
85,60,adult,R1,1.5072691437753138,2007
86,57,adult,R2,0.7606266458835288,2007
87,52,adult,R1,0.8513384256925243,2007
88,58,adult,R1,0.35319216234549633,2007
89,20,adult,R3,0.9863245284543252,2007
90,77,senior,R2,1.5991784195534209,2007
91,28,adult,R1,1.2091704016197082,2007
92,60,adult,R1,0.5284389046929034,2007
93,58,adult,R3,0.45263244036418476,2007
94,81,senior,R1,1.4836851857525577,2007
95,10,pediatric,R2,1.4938390242313602,2007
96,89,senior,R3,0.859401511594357,2007
97,38,adult,R2,1.3200480880190448,2007
98,75,senior,R3,0.9308007926245115,2007
99,19,adult,R3,3.19370718183934,2007
100,80,senior,R2,1.17499673185474,2007
101,32,adult,R2,2.471385362341449,2007
102,12,pediatric,R3,3.211415480919003,2007
103,52,adult,R2,0.9206060859737666,2007
